,timestamp,ch1_bias,ch1_derivedPk,ch1_direct,ch1_directRMS,ch1_velocityPk,ch1_velocityRMS,ch2_bias,ch2_derivedPk,ch2_direct,ch2_directRMS,ch2_velocityPk,ch2_velocityRMS,status,volts
166,1/23/2025 13:03,-11.983,0.031,0.078,0.022,0.036,0.021,-12.024,0.048,0.103,0.034,0.038,0.02,baseline,50
167,1/23/2025 13:03,-11.983,0.028,0.082,0.02,0.038,0.024,-12.024,0.038,0.101,0.027,0.039,0.019,baseline,50
168,1/23/2025 13:04,-11.983,0.027,0.071,0.019,0.035,0.019,-12.024,0.039,0.115,0.028,0.038,0.023,baseline,50
169,1/23/2025 13:04,-11.983,0.031,0.079,0.022,0.036,0.018,-12.024,0.051,0.117,0.036,0.039,0.023,baseline,50
170,1/23/2025 13:04,-11.983,0.029,0.074,0.02,0.039,0.023,-12.024,0.041,0.102,0.029,0.041,0.021,baseline,50
171,1/23/2025 13:04,-11.983,0.031,0.078,0.022,0.036,0.022,-12.024,0.048,0.101,0.034,0.038,0.022,baseline,50
172,1/23/2025 13:04,-11.983,0.031,0.069,0.022,0.039,0.019,-12.024,0.039,0.134,0.028,0.039,0.023,baseline,50
173,1/23/2025 13:04,-11.983,0.028,0.079,0.02,0.04,0.02,-12.024,0.049,0.104,0.035,0.04,0.023,baseline,50
174,1/23/2025 13:04,-11.983,0.031,0.078,0.022,0.036,0.022,-12.024,0.044,0.119,0.031,0.039,0.022,baseline,50
175,1/23/2025 13:04,-11.983,0.03,0.085,0.022,0.038,0.022,-12.024,0.052,0.1,0.037,0.04,0.022,baseline,50
176,1/23/2025 13:04,-11.983,0.031,0.071,0.022,0.036,0.02,-12.024,0.046,0.116,0.033,0.041,0.023,baseline,50
177,1/23/2025 13:04,-11.983,0.028,0.068,0.02,0.038,0.02,-12.024,0.039,0.101,0.028,0.038,0.021,baseline,50
178,1/23/2025 13:04,-11.983,0.028,0.08,0.02,0.038,0.022,-12.024,0.039,0.115,0.028,0.04,0.022,baseline,50
179,1/23/2025 13:04,-11.983,0.032,0.075,0.022,0.042,0.02,-12.024,0.051,0.115,0.036,0.039,0.023,baseline,50
180,1/23/2025 13:05,-11.983,0.028,0.083,0.02,0.037,0.021,-12.024,0.048,0.1,0.034,0.041,0.021,baseline,50
181,1/23/2025 13:05,-11.983,0.028,0.071,0.02,0.038,0.022,-12.024,0.041,0.112,0.029,0.039,0.023,baseline,50
182,1/23/2025 13:05,-11.983,0.032,0.08,0.022,0.043,0.02,-12.024,0.038,0.108,0.027,0.045,0.021,baseline,50
